question,answer
Have you consider starting your own business?,"Again its best to: 1. Gauge this companys corporate culture before answering and... 2. Be honest (which doesnt mean you have to vividly share your fantasy of the franchise or bed-and-breakfast you someday plan to open). In general, if the corporate culture is that of a large, formal, military-style structure, minimize any indication that youd love to have your own business. You might say, Oh, I may have given it a thought once or twice, but my whole career has been in larger organizations. Thats where I have excelled and where I want to be. If the corporate culture is closer to the free-wheeling, everybodys-a-deal-maker variety, then emphasize that in a firm like this, you can virtually get the best of all worlds, the excitement of seeing your own ideas and plans take shape...combined with the resources and stability of a well-established organization. Sounds like the perfect environment to you. In any case, no matter what the corporate culture, be sure to indicate that any desires about running your own show are part of your past, not your present or future. The last thing you want to project is an image of either a dreamer who failed and is now settling for the corporate cocoon...or the restless maverick who will fly out the door with key accounts, contacts and trade secrets under his arms just as soon as his bankroll has gotten rebuilt. Always remember: Match what you want with what the position offers. The more information youve uncovered about the position, the more believable you can make your case."
What are your goals?,"Many executives in a position to hire you are strong believers in goal-setting. (Its one of the reason theyve achieved so much). They like to hire in kind. If youre vague about your career and personal goals, it could be a big turnoff to may people you will encounter in your job search. Be ready to discuss your goals for each major area of your life: career, personal development and learning, family, physical (health), community service and (if your interviewer is clearly a religious person) you could briefly and generally allude to your spiritual goals (showing you are a well-rounded individual with your values in the right order). Be prepared to describe each goal in terms of specific milestones you wish to accomplish along the way, time periods youre allotting for accomplishment, why the goal is important to you, and the specific steps youre taking to bring it about. But do this concisely, as you never want to talk more than two minutes straight before letting your interviewer back into the conversation."
What do you for when you hire people?,"Speak your own thoughts here, but for the best answer weave them around the three most important qualifications for any position. 1. Can the person do the work (qualifications)? 2. Will the person do the work (motivation)? 3. Will the person fit in (our kind of team player)?"
Sell me this stapler...(this pencil...this clock...or some other object on interviewers desk).,"Of course, you already know the most important secret of all great salesmanship find out what people want, then show them how to get it. If your interviewer picks up his stapler and asks, sell this to me, you are going to demonstrate this proven master principle. Heres how: Well, a good salesman must know both his product and his prospect before he sells anything. If I were selling this, Id first get to know everything I could about it, all its features and benefits. Then, if my goal were to sell it you, I would do some research on how you might use a fine stapler like this. The best way to do that is by asking some questions. May I ask you a few questions? Then ask a few questions such as, Just out of curiosity, if you didnt already have a stapler like this, why would you want one? And in addition to that? Any other reason? Anything else? And would you want such a stapler to be reliable?...Hold a good supply of staples? (Ask more questions that point to the features this stapler has.) Once youve asked these questions, make your presentation citing all the features and benefits of this stapler and why its exactly what the interviewer just told you hes looking for. Then close with, Just out of curiosity, what would you consider a reasonable price for a quality stapler like this...a stapler you could have right now and would (then repeat all the problems the stapler would solve for him)? Whatever he says, (unless its zero), say, Okay, weve got a deal. NOTE: If your interviewer tests you by fighting every step of the way, denying that he even wants such an item, dont fight him. Take the product away from him by saying, Mr. Prospect, Im delighted youve told me right upfront that theres no way youd ever want this stapler. As you well know, the first rule of the most productive salespeople in any field is to meet the needs of people who really need and want our products, and it just wastes everyones time if we try to force it on those who dont. And I certainly wouldnt want to waste your time. But we sell many items. Is there any product on this desk you would very much like to own...just one item? When he points something out, repeat the process above. If he knows anything about selling, he may give you a standing ovation."
The Salary Question How much money do you want?,"For maximum salary negotiating power, remember these five guidelines: 1. Never bring up salary. Let the interviewer do it first. Good salespeople sell their products thoroughly before talking price. So should you. Make the interviewer want you first, and your bargaining position will be much stronger. 2. If your interviewer raises the salary question too early, before youve had a chance to create desire for your qualifications, postpone the question, saying something like, Money is important to me, but is not my main concern. Opportunity and growth are far more important. What Id rather do, if you dont mind, is explore if Im right for the position, and then talk about money. Would that be okay? 3. The #1 rule of any negotiation is: the side with more information wins. After youve done a thorough job of selling the interviewer and its time to talk salary, the secret is to get the employer talking about what hes willing to pay before you reveal what youre willing to accept. So, when asked about salary, respond by asking, Im sure the company has already established a salary range for this position. Could you tell me what that is? Or, I want an income commensurate with my ability and qualifications. I trust youll be fair with me. What does the position pay? Or, more simply, What does this position pay? 4. Know beforehand what youd accept. To know whats reasonable, research the job market and this position for any relevant salary information. Remember that most executives look for a 20-25%$ pay boost when they switch jobs. If youre grossly underpaid, you may want more. 5. Never lie about what you currently make, but feel free to include the estimated cost of all your fringes, which could well tack on 25-50% more to your present cash-only salary."
The Illegal Question,"Under the ever-present threat of lawsuits, most interviewers are well aware of these taboos. Yet you may encounter, usually on a second or third interview, a senior executive who doesnt interview much and forgets he cant ask such questions. You can handle an illegal question in several ways. First, you can assert your legal right not to answer. But this will frighten or embarrass your interviewer and destroy any rapport you had. Second, you could swallow your concerns over privacy and answer the question straight forwardly if you feel the answer could help you. For example, your interviewer, a devout Baptist, recognizes you from church and mentions it. Here, you could gain by talking about your church. Third, if you dont want your privacy invaded, you can diplomatically answer the concern behind the question without answering the question itself. Example: If you are over 50 and are asked, How old are you? you can answer with a friendly, smiling question of your own on whether theres a concern that your age my affect your performance. Follow this up by reassuring the interviewer that theres nothing in this job you cant do and, in fact, your age and experience are the most important advantages you offer the employer for the following reasons... Another example: If asked, Do you plan to have children? you could answer, I am wholeheartedly dedicated to my career, perhaps adding, I have no plans regarding children. (You neednt fear youve pledged eternal childlessness. You have every right to change your plans later. Get the job first and then enjoy all your options.) Most importantly, remember that illegal questions arise from fear that you wont perform well. The best answer of all is to get the job and perform brilliantly. All concerns and fears will then varnish, replaced by respect and appreciation for your work."
The Secret Illegal Question,"Remember that just because the interviewer doesnt ask an illegal question doesnt mean he doesnt have it. More than likely, he is going to come up with his own answer. So you might as well help him out. How? Well, you obviously cant respond to an illegal question if he hasnt even asked. This may well offend him. And theres always the chance he wasnt even concerned about the issue until you brought it up, and only then begins to wonder. So you cant address secret illegal questions head-on. But what you can do is make sure theres enough counterbalancing information to more than reassure him that theres no problem in the area he may be doubtful about. For example, lets say youre a sales rep who had polio as a child and you need a cane to walk. You know your condition has never impeded your performance, yet youre concerned that your interviewer may secretly be wondering about your stamina or ability to travel. Well, make sure that you hit these abilities very hard, leaving no doubt about your capacity to handle them well. So, too, if youre in any different from what passes for normal. Make sure, without in any way seeming defensive about yourself that you mention strengths, accomplishments, preferences and affiliations that strongly counterbalance any unspoken concern your interviewer may have."
What was the toughest part of your last job?,"State that there was nothing in your prior position that you found overly difficult, and let your answer go at that. If pressed to expand your answer, you could describe the aspects of the position you enjoyed more than others, making sure that you express maximum enjoyment for those tasks most important to the open position, and you enjoyed least those tasks that are unimportant to the position at hand."
How do you define success...and how do you measure up to your own definition?,"Give a well-accepted definition of success that leads right into your own stellar collection of achievements. Example: The best definition Ive come across is that success is the progressive realization of a worthy goal. As to how I would measure up to that definition, I would consider myself both successful and fortunate...(Then summarize your career goals and how your achievements have indeed represented a progressive path toward realization of your goals.)"
The Opinion Question What do you think about ...Abortion...The President...The Death Penalty...(or any other controversial subject)?,"In all of these instances, just remember the tale about student and the wise old rabbi. The scene is a seminary, where an overly serious student is pressing the rabbi to answer the ultimate questions of suffering, life and death. But no matter how hard he presses, the wise old rabbi will only answer each difficult question with a question of his own. In exasperation, the seminary student demands, Why, rabbi, do you always answer a question with another question? To which the rabbi responds, And why not? If you are ever uncomfortable with any question, asking a question in return is the greatest escape hatch ever invented. It throws the onus back on the other person, sidetracks the discussion from going into an area of risk to you, and gives you time to think of your answer or, even better, your next question! In response to any of the opinion questions cited above, merely responding, Why do you ask? will usually be enough to dissipate any pressure to give your opinion. But if your interviewer again presses you for an opinion, you can ask another question. Or you could assert a generality that almost everyone would agree with. For example, if your interviewer is complaining about politicians then suddenly turns to you and asks if youre a Republican or Democrat, you could respond by saying, Actually, Im finding it hard to find any politicians I like these days. (Of course, your best question of all may be whether you want to work for someone opinionated.)"
"If you won $10 million lottery, would you still work?","This type of question is aimed at getting at your bedrock attitude about work and how you feel about what you do. Your best answer will focus on your positive feelings. Example: After I floated down from cloud nine, I think I would still hold my basic belief that achievement and purposeful work are essential to a happy, productive life. After all, if money alone bought happiness, then all rich people would be all happy, and thats not true. I love the work I do, and I think Id always want to be involved in my career in some fashion. Winning the lottery would make it more fun because it would mean having more flexibility, more options...who knows? Of course, since I cant count on winning, Id just as soon create my own destiny by sticking with whats worked for me, meaning good old reliable hard work and a desire to achieve. I think those qualities have built many more fortunes that all the lotteries put together."
"Looking back on your last position, have you done your best work?","To cover both possible paths this question can take, your answer should state that you always try to do your best, and the best of your career is right now. Like an athlete at the top of his game, you are just hitting your career stride thanks to several factors. Then, recap those factors, highlighting your strongest qualifications."
Why should I hire you from the outside when I could promote someone from within?,"Help him see the qualifications that only you can offer. Example: In general, I think its a good policy to hire from within to look outside probably means youre not completely comfortable choosing someone from inside. Naturally, you want this department to be as strong as it possibly can be, so you want the strongest candidate. I feel that I can fill that bill because...(then recap your strongest qualifications that match up with his greatest needs)."
Tell me something negative youve heard about our company...,Just remember the rule never be negative and youll handle this one just fine.
"On a scale of one to ten, rate me as an interviewer.","Once again, never be negative. The interviewer will only resent criticism coming from you. This is the time to show your positivism. However, dont give a numerical rating. Simply praise whatever interview style hes been using. If hes been tough, say You have been thorough and tough-minded, the very qualities needed to conduct a good interview. If hes been methodical, say, You have been very methodical and analytical, and Im sure that approach results in excellent hires for your firm. In other words, pay him a sincere compliment that he can believe because its anchored in the behavior youve just seen."
