question,answer
Sell me this stapler...(this pencil...this clock...or some other object on interviewers desk).,"Of course, you already know the most important secret of all great salesmanship find out what people want, then show them how to get it. If your interviewer picks up his stapler and asks, sell this to me, you are going to demonstrate this proven master principle. Heres how: Well, a good salesman must know both his product and his prospect before he sells anything. If I were selling this, Id first get to know everything I could about it, all its features and benefits. Then, if my goal were to sell it you, I would do some research on how you might use a fine stapler like this. The best way to do that is by asking some questions. May I ask you a few questions? Then ask a few questions such as, Just out of curiosity, if you didnt already have a stapler like this, why would you want one? And in addition to that? Any other reason? Anything else? And would you want such a stapler to be reliable?...Hold a good supply of staples? (Ask more questions that point to the features this stapler has.) Once youve asked these questions, make your presentation citing all the features and benefits of this stapler and why its exactly what the interviewer just told you hes looking for. Then close with, Just out of curiosity, what would you consider a reasonable price for a quality stapler like this...a stapler you could have right now and would (then repeat all the problems the stapler would solve for him)? Whatever he says, (unless its zero), say, Okay, weve got a deal. NOTE: If your interviewer tests you by fighting every step of the way, denying that he even wants such an item, dont fight him. Take the product away from him by saying, Mr. Prospect, Im delighted youve told me right upfront that theres no way youd ever want this stapler. As you well know, the first rule of the most productive salespeople in any field is to meet the needs of people who really need and want our products, and it just wastes everyones time if we try to force it on those who dont. And I certainly wouldnt want to waste your time. But we sell many items. Is there any product on this desk you would very much like to own...just one item? When he points something out, repeat the process above. If he knows anything about selling, he may give you a standing ovation."
The Salary Question How much money do you want?,"Thank you for asking about the salary, but I believe it’s important to first ensure that I am the right fit for the company and the position. My primary focus is on the opportunity for growth and the potential to contribute meaningfully to your team. Could we discuss the responsibilities and expectations for this role further before we delve into financials? Once we establish a mutual fit, I’m confident we can agree on a compensation that reflects my abilities and the value I bring to the company.

Once we’re both confident that my skills and experience align well with the needs of this position, I would appreciate knowing the salary range the company has established for this role. I'm sure it's set to reflect the value and contributions expected. My aim is to ensure that it’s a fair and rewarding compensation package, commensurate with my qualifications and the industry standards."
The Illegal Question,"Under the ever-present threat of lawsuits, most interviewers are well aware of these taboos. Yet you may encounter, usually on a second or third interview, a senior executive who doesnt interview much and forgets he cant ask such questions. You can handle an illegal question in several ways. First, you can assert your legal right not to answer. But this will frighten or embarrass your interviewer and destroy any rapport you had. Second, you could swallow your concerns over privacy and answer the question straight forwardly if you feel the answer could help you. For example, your interviewer, a devout Baptist, recognizes you from church and mentions it. Here, you could gain by talking about your church. Third, if you dont want your privacy invaded, you can diplomatically answer the concern behind the question without answering the question itself. Example: If you are over 50 and are asked, How old are you? you can answer with a friendly, smiling question of your own on whether theres a concern that your age my affect your performance. Follow this up by reassuring the interviewer that theres nothing in this job you cant do and, in fact, your age and experience are the most important advantages you offer the employer for the following reasons... Another example: If asked, Do you plan to have children? you could answer, I am wholeheartedly dedicated to my career, perhaps adding, I have no plans regarding children. (You neednt fear youve pledged eternal childlessness. You have every right to change your plans later. Get the job first and then enjoy all your options.) Most importantly, remember that illegal questions arise from fear that you wont perform well. The best answer of all is to get the job and perform brilliantly. All concerns and fears will then varnish, replaced by respect and appreciation for your work."
The Secret Illegal Question,"Certainly! Throughout my career as a sales representative, I've consistently exceeded my targets and built strong relationships with clients across various regions. My commitment to excellence and my strategic approach to networking have allowed me to effectively manage extensive territories, ensuring that I meet clients' needs with precision and care. Traveling has been a fundamental part of my role, and I have always thrived in dynamic environments, adapting quickly to new challenges and opportunities. My track record speaks to my ability to maintain high energy levels and dedication, enabling me to consistently deliver exceptional results despite any obstacles."
What was the toughest part of your last job?,"State that there was nothing in your prior position that you found overly difficult, and let your answer go at that. If pressed to expand your answer, you could describe the aspects of the position you enjoyed more than others, making sure that you express maximum enjoyment for those tasks most important to the open position, and you enjoyed least those tasks that are unimportant to the position at hand."
How do you define success...and how do you measure up to your own definition?,"Give a well-accepted definition of success that leads right into your own stellar collection of achievements. Example: The best definition Ive come across is that success is the progressive realization of a worthy goal. As to how I would measure up to that definition, I would consider myself both successful and fortunate...(Then summarize your career goals and how your achievements have indeed represented a progressive path toward realization of your goals.)"
The Opinion Question What do you think about ...Abortion...The President...The Death Penalty...(or any other controversial subject)?,"When faced with such controversial topics, it's always intriguing to explore the underlying reasons for the inquiry. So, I might initially respond with, ""Why do you ask?"" This approach often provides insight into the interviewer’s perspective and allows me to gauge the context of the discussion. If the conversation continues and requires a more direct response, I might offer a neutral observation, such as, ""These are complex issues, and it's fascinating how diverse opinions can be. It's a testament to the complexity of human experiences and perspectives."" This strategy not only deflects the pressure to take a definitive stance but also emphasizes a broader understanding and appreciation for differing viewpoints."
"If you won $10 million lottery, would you still work?","If I were fortunate enough to win a $10 million lottery, after the initial excitement settled, I would still hold onto my fundamental belief that meaningful work is crucial to a fulfilling life. Achieving goals and contributing positively through my career are deeply rewarding experiences for me. While financial freedom would provide more flexibility and opportunities, it wouldn't replace the sense of purpose and accomplishment that comes from working. I am passionate about what I do, and I envision continuing to engage with my career in some capacity, even if it meant exploring new avenues or projects. Ultimately, I believe that hard work and a strong drive to achieve have been the cornerstones of many successful endeavors, far surpassing the fleeting luck of winning a lottery."
"Looking back on your last position, have you done your best work?","Absolutely, I always strive to do my best work, and I believe the best of my career is happening right now. Much like an athlete at the peak of their performance, I feel I'm hitting my career stride due to a combination of experience, continuous learning, and a deep commitment to my professional development. My recent accomplishments, including spearheading successful projects and mentoring emerging talent, reflect the expertise and leadership skills I've honed over the years. Additionally, my adaptability and proficiency in the latest industry technologies have empowered me to deliver innovative solutions and drive tangible results. These factors, along with my dedication to excellence, position me to contribute effectively and make a positive impact in my next role."
Why should I hire you from the outside when I could promote someone from within?,"Help him see the qualifications that only you can offer. Example: In general, I think its a good policy to hire from within to look outside probably means youre not completely comfortable choosing someone from inside. Naturally, you want this department to be as strong as it possibly can be, so you want the strongest candidate. I feel that I can fill that bill because...(then recap your strongest qualifications that match up with his greatest needs)."
Tell me something negative youve heard about our company...,"I have heard that, like many successful companies experiencing rapid growth, you face challenges in maintaining efficient communication across all departments. However, I see this as an opportunity where your commitment to innovation and improvement can shine. The way your company is actively addressing this challenge by investing in new communication tools and fostering a culture of open dialogue is truly commendable. It reflects a proactive approach to ensuring that everyone stays connected and aligned with the company goals, which is something I admire and am eager to contribute to if given the chance."
"On a scale of one to ten, rate me as an interviewer.","I truly appreciate the approach you have taken during this interview process. Your methodical and analytical style has allowed for a comprehensive exploration of my experiences and skills, and I can see how this meticulous approach would be instrumental in securing excellent hires for your firm. The thoughtful and structured way you’ve guided this conversation has not only made me feel comfortable but also challenged me to reflect deeply on my professional journey. Thank you for conducting such a thorough and engaging interview."
